,City,Contact,Country,County,District,Formatted,Group,ID,Last Remodel,Latitude,Longitude,Opened,Region,State,Store Features,Store_Name,Stores_Open,Street,SubType,Timings,Type,Zipcode
0,Alabaster,(205) 564-2608,United States,Shelby,340,"250 S Colonial Dr, Alabaster, AL 35007-4657",394,2276,null,33.224895,-86.803977,2007-07-25T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Alabaster,"['Monday-Friday', 'Saturday', 'Sunday']",250 S Colonial Dr,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,35007-4657
1,Prattville,(334) 290-6000,United States,Elmore,340,"2754 Legends Pkwy, Prattville, AL 36066-7748",394,2274,null,32.457557,-86.395508,2007-07-25T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Prattville,"['Monday-Friday', 'Saturday', 'Sunday']",2754 Legends Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,36066-7748
2,Bessemer,(205) 565-3760,United States,Jefferson,340,"4889 Promenade Pkwy, Bessemer, AL 35022-7305",394,2375,null,33.334428,-86.990326,2008-07-23T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Bessemer,"['Monday-Friday', 'Saturday', 'Sunday']",4889 Promenade Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,35022-7305
3,Birmingham,(205) 747-1654,United States,Jefferson,340,"5561 Grove Blvd, Birmingham, AL 35226-4600",394,2503,null,33.361598,-86.852559,2009-10-07T12:00:00,300,AL,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Hoover West,"['Monday-Friday', 'Saturday', 'Sunday']",5561 Grove Blvd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35226-4600
4,Birmingham,(205) 408-7687,United States,Shelby,340,"4616 Highway 280, Birmingham, AL 35242-5028",394,1772,null,33.42553,-86.711805,2000-10-04T12:00:00,300,AL,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Birmingham 280 Corridor,"['Monday-Friday', 'Saturday', 'Sunday']",4616 Highway 280,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35242-5028
5,Montgomery,(334) 356-6265,United States,Montgomery,340,"2576 Berryhill Rd, Montgomery, AL 36117-3564",394,1825,2018-07-20T12:00:00,32.360305,-86.16067,2003-10-08T12:00:00,300,AL,"['CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Montgomery,"['Monday-Friday', 'Saturday', 'Sunday']",2576 Berryhill Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,36117-3564
6,Homewood,(205) 994-7531,United States,Jefferson,340,"531 Brookwood Village, Homewood, AL 35209-4501",394,2796,null,33.467692,-86.774917,2013-03-06T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Homewood,"['Monday-Friday', 'Saturday', 'Sunday']",531 Brookwood Village,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35209-4501
7,Tuscaloosa,(205) 462-1064,United States,Tuscaloosa,340,"1901 13th Ave E, Tuscaloosa, AL 35404-4785",394,1787,2017-10-26T12:00:00,33.193104,-87.518672,2002-03-06T12:00:00,300,AL,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Tuscaloosa,"['Monday-Friday', 'Saturday', 'Sunday']",1901 13th Ave E,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,35404-4785
8,Fultondale,(205) 453-6032,United States,Jefferson,340,"3489 Lowery Pkwy, Fultondale, AL 35068-1677",394,2355,null,33.605595,-86.80623,2007-10-10T12:00:00,300,AL,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Fultondale,"['Monday-Friday', 'Saturday', 'Sunday']",3489 Lowery Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35068-1677
9,Birmingham,(205) 655-6950,United States,Jefferson,340,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",394,1773,null,33.60526,-86.636743,2000-10-04T12:00:00,300,AL,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Café', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Trussville,"['Monday-Friday', 'Saturday', 'Sunday']",1654 Gadsden Hwy,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,35235-3104
